Estacion,Mes,Data,Tot-ppd,Ex-83-98,Ex->0.1,p99,p95,p90,p75,data_años
qc00154110,3,1581,1519,1488,1106,22,16.7,13.4,9,36.9
qc00157418,1,1581,1457,1426,1088,25.3,17.4,13.4,8.4,36.3
qc00156104,3,1581,1426,1395,1063,25.9,16.7,13.2,8.9,35.4
qc00157418,2,1581,1426,1395,1052,21.1,15.4,12.5,8.3,35.1
qc00000780,1,1581,1581,1519,1036,29.5,19.5,15.2,9.7,34.5
qc00154110,2,1581,1491,1460,1016,31,18.5,14,9,33.9
qc00000780,2,1581,1552,1490,1012,32.6,21.2,16.3,9.6,33.7
qc00156104,2,1581,1397,1366,1000,28.9,18.4,13.8,9.2,33.3
qc00000503,2,1516,1367,1336,990,25.1,16.8,13,8,33.0
qc00000240,2,1550,1549,1487,981,31.5,19.2,13.5,8,32.7
qc00153208,3,1550,1550,1488,971,50,32,26.7,16.1,32.4
qc00000240,3,1550,1550,1488,969,36,21.8,14.6,8,32.3
qc00157418,3,1581,1426,1395,967,21.6,14.8,11.4,7.2,32.2
qc00153208,2,1578,1578,1516,948,50.9,32,25.7,15.6,31.6
qc00153320,3,1457,1457,1395,948,94,64,45.6,25,31.6
qc00156109,2,1581,1578,1516,939,20.3,15.3,13.1,9.5,31.3
qc00000503,1,1519,1368,1337,908,24.7,16.7,13,7.7,30.3
qc00153320,2,1457,1457,1395,906,98.9,61.6,44.3,25.2,30.2
qc00156109,3,1581,1550,1488,905,19.3,15.4,12.7,8.9,30.2
qc00000503,3,1488,1297,1266,888,26.1,15.8,11.2,7,29.6
qc00000780,3,1581,1581,1519,881,28.6,18.5,13.1,8.3,29.4
qc00156104,1,1581,1426,1395,873,26.2,16.5,12.7,8.1,29.1
qc00000548,3,1612,1612,1550,871,19.8,11.3,9.2,5.7,29.0
qc00000240,1,1550,1518,1456,857,30.9,18.2,13.4,7.9,28.6
qc00000548,2,1612,1612,1550,853,19.2,12.8,10,6.2,28.4
qc00153320,1,1457,1426,1364,841,97,61,41.5,19.9,28.0
qc00156109,1,1581,1533,1471,826,20.1,14.8,12.5,9.1,27.5
qc00154110,1,1581,1519,1488,824,23.9,17,12.5,8.1,27.5
qc00153208,1,1581,1550,1488,806,47.6,30.5,20.7,13,26.9
qc00000736,2,1612,1553,1491,773,27,17.8,14.4,9.8,25.8
qc00155223,3,1488,1488,1426,758,20.3,14.8,11.8,7.5,25.3
qc00155223,2,1488,1488,1426,751,21.4,15.7,13.7,9.1,25.0
qc00000548,1,1581,1581,1519,746,15.2,10.5,8.1,4.9,24.9
qc00153314,3,1581,1581,1519,745,70.2,51,38,21.2,24.8
qc00000552,3,1519,1333,1271,741,36.8,19.1,14,8.2,24.7
qc00155205,2,1550,1550,1488,737,26,16,11,7.4,24.6
qc00155205,3,1550,1550,1488,733,26,16.1,11,7.2,24.4
qc00000552,1,1519,1316,1254,727,36,16.3,12,7.1,24.2
qc00000552,2,1519,1291,1229,723,40,17,13.7,7.5,24.1
qc00000736,3,1612,1581,1519,719,26.5,17.8,14.3,9.5,24.0
qc00000736,1,1612,1612,1550,713,24.1,18,14.6,9.6,23.8
qc00155223,1,1519,1488,1426,691,22.7,14.5,11.2,7.2,23.0
qc00155224,2,1550,1503,1441,678,35.7,19.6,14.4,8.6,22.6
qc00153314,2,1581,1581,1519,676,70,46.2,35,19.1,22.5
qc00151207,3,1085,1085,1023,660,15.5,11.8,9.8,6.8,22.0
qc00155224,3,1550,1519,1457,660,31.6,20.3,14.2,8.2,22.0
qc00155105,3,1550,1519,1457,651,22.4,15.7,13,7.8,21.7
qc00150903,3,1054,868,837,636,16.8,11.3,10,7.6,21.2
qc00156113,3,1581,1380,1349,629,14.2,8.9,6.9,4.1,21.0
qc00151207,2,1085,1085,1023,619,21.2,15.5,12,8,20.6
qc00155105,2,1550,1547,1485,612,24,17.4,13.2,8.7,20.4
qc00154107,3,1581,1550,1488,603,15.8,10.9,8.9,5.9,20.1
qc00000322,3,1581,1488,1426,596,62.5,39,27.3,16,19.9
qc00151503,3,1085,1085,1023,596,21.8,15.6,12.8,8.9,19.9
qc00151503,2,1085,1029,967,572,29.5,19.3,15.6,10,19.1
qc00153314,1,1581,1581,1519,567,66.6,45.8,33.1,17.5,18.9
qc00154107,2,1581,1521,1459,565,19.5,14.1,10.4,6.4,18.8
qc00156113,2,1581,1384,1353,564,17.2,10.2,7.5,4.3,18.8
qc00155207,2,837,837,806,563,18.8,15.6,14.5,10.4,18.8
qc00151207,1,1085,1085,1023,562,15.5,11,9.6,5.9,18.7
qc00155207,3,837,837,806,546,19,14.3,12.6,9.5,18.2
qc00155205,1,1581,1581,1519,541,19,10.8,8.4,5.4,18.0
qc00150903,2,1054,868,837,540,18.7,13.5,11.5,7.7,18.0
qc00000822,1,744,744,713,519,39.3,25,20.1,12.7,17.3
qc00155207,1,837,837,806,500,16.7,14.1,12,9.3,16.7
qc00155224,1,1581,1550,1488,500,24.9,15.4,11.5,7,16.7
qc00155105,1,1550,1550,1488,489,23.3,13.9,9.9,6,16.3
qc00000322,2,1581,1516,1454,481,63,41,29,15,16.0
qc00151212,2,1085,933,902,478,24.7,12.4,10,6.2,15.9
qc00151503,1,1085,1054,992,472,22.1,15.5,13.3,8.9,15.7
qc00000625,2,806,794,763,469,27.5,20,15.6,10,15.6
qc00150903,1,1054,868,837,460,17.1,11.1,9.4,6.7,15.3
qc00153313,3,1581,1581,1519,457,62.2,39,29,15,15.2
qc00000822,2,744,716,685,454,38,26.2,20.7,13.2,15.1
qc00151212,3,1085,961,930,451,15.7,12.6,10,5.9,15.0
qc00154107,1,1581,1581,1519,434,14.1,10.5,8.7,5.2,14.5
qc00000349,2,806,679,648,418,49,32.9,25.3,14.5,13.9
qc00000625,3,806,806,775,407,25.3,18.5,14,9.5,13.6
qc00000349,3,806,651,620,403,47.6,31.9,25.2,13.8,13.4
qc00000822,3,744,744,713,403,30.5,22,18,11.3,13.4
qc00156113,1,1581,1382,1321,398,10.8,7.5,5.7,3.5,13.3
qc00000625,1,806,806,775,391,25,19.5,15.8,11,13.0
qc00000349,1,806,682,651,371,45,31.8,22.8,14.4,12.4
qc00000322,1,1581,1519,1457,354,54,32,26.6,14,11.8
qc00151212,1,1085,961,930,352,14.4,10,8.1,4.8,11.7
qc00153313,2,1581,1581,1519,339,60.9,44.2,29,15,11.3
qc00153313,1,1581,1581,1519,280,55,37,27.1,15,9.3
qc00000805,2,2015,1893,1862,110,15.5,3.61,2.6,1.6,3.7
qc00000805,1,2015,1991,1929,100,7,4,2.8,1.15,3.3
qc00000805,3,2015,1788,1757,58,6.4,4.7,3,1.5,1.9
